ISBN13,rating,review
9791189198862,8,종의 기원이 출간되어서 기쁜 마음에 판형도 확인 안하고 허겁지겁 주문부터 한 저에게 1차 책임이 있긴 하지만 B6사이즈는단행본 크기네요 비스 교정교열도 너무 숨막히게  다닥다닥 붙어있어서 어르신들은 읽기가 힘들 것 같습니다.  내용은 다른 분들께서 훌륭히 써주셔서 생략합니다.
9791189198862,10,좋은 번역 감사합니다.!
9791189198862,8,관심이 많았지만 소화하기 어렵지 않을까 하는 막연한 두려움이 있었는데 번역 덕에 접근하기 보다 용이해진 것 같아 좋습니다. 책 내용은 좋으나 제본된 책의 사이즈가 다소 아쉬움으로 남네요.
9791189198862,10,진화론을 제대로 이해하고 싶으면 추천합니다
9791189198862,10,"오늘 강연회 다녀왔습니다. 책이야 말할 것도 없고, 알려주신 꿀팁을 공유하자면 ˝당시 영국엔 육종학이 유행이었다. 그래서 1장에서 다룬다. 하지만 현대의 우리는 매우 지루하다고 느낄 것이다. 그러니 3,4장을 먼저 읽는 것이 좋다.˝ 또한 <해설서>도 내신다고 합니다. 완독하고 기다리겠습니다"
9791189198862,10,책의 장정이 멋지다. 블랙&골드 . 다른 출판사 번역본보다 가독성이 좋은 것 같다.
9791189198862,6,귀납적 추론을 통한 일반화의 오류를 조심하라...
9791189198862,10,지금까지 번역되지 않았던 초판 번역이라니 기대됩니다.
9791189198862,10,"장대익 교수가 좀 센 편이라 창조*, 지적설계* 안티들이 있지요.이 책은 새로운 시대를 열었던 고전이지 영구불변의 진리가 담긴 책이 아닙니다. 다윈의 통찰력은 여전히 유효합니다."
9791189198862,10,창조론충들이 평점 망치는거 막기위해 쓴다.기대되는 시리즈다.
9791189198862,2,현재 많은 과학자들이 밝혀 내고 있듯이 진화 이론은 중간 매체의 표본 부족으로 이상주의적 현실을 외변헌 이론 인것이 점점 다 확실해 지고 있다. 우주과학에 있어 행성간 나이에 대해서(행성이 만들어진것은 길어야 6000년이라는 견해가 압도적) 천체 과학자들간에도 다툼이 끝임없다.
9791189198862,10,드디어 나왔군요!!!  드디어 다윈 시리즈 응원합니다.  모두 성공적으로 출간되길 바랍니다!!!
9791189198862,10,"첫 글이 안타까워 처음으로 글을 남긴다. 고전이 여태 읽히고 명저로 평가받는 건, 그 안에 담긴 통찰력이 여전히 유효하기 때문이지, 모든 내용이 진리여서가 아니다. 고전을 현대의 시각으로 해석하는 건 독자의 몫이다. 태양의 원리가 밝혀졌다고 한들, 감히 누가 이를 숭배했던 시대를 조롱하는가?"
9791189198862,2,DNA 분석을 할 수 없었던 시대의 진화가설(논)을 이 시대에 진설로 생각한다는 것은 참 우스운 현상이다.
9788972915546,4,정말 다 읽는 데 힘들었다. 번역이 어렵다.
9788972915546,10,입대 당일에 마지막 장을 덮고 훈련소에 들어갔다. “나를 독단에 잠에서 깨어나게 해준 책”
9788972915546,2,이거 이 번역으론 도저히 이해 못하는데 ???
9788972915546,4,번역...매번 구매평에 이렇게 줄기차게 번역문제가 논란이 되는 책도 드물 것 같다.
9788972915546,8,과학의 고전.. 반드시 읽어봐야 할 책이죠.
9788972915546,2,이 책을 번역한 저자는 이렇게 번역해놓고서 자신은 쿤의 과학혁명의 구조 원서 내용을 이해하고 번역한 것인가 되묻고 싶은 심정이다.
9788972915546,6,나는 이제까지 행성을 보고 있었지만 지금은 위성을 보고있다고 말하지 않는다. 대신 나는 한때 달을 행성이라고 생각했지만 그것은 내 잘못이었다라고 말한다.
9788972915546,8,유명인들의 추천도서에 항상 들어있는 책이라 관심있어 왔는데 번역이 형편없는모양이네요..
9788972915546,10,이 책이 왜 고전 필독서 인지는 이 책을 읽어보면 알 수 있습니다. 번역이 좀 아쉽네요.
